POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Owner,0.0,0.0,2.0,BHK,1300.236407,1.0,1.0,"Ksfc Layout,Bangalore",12.96991,77.59796,55.0
Dealer,0.0,0.0,2.0,BHK,1275.0,1.0,1.0,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51.0
Owner,0.0,0.0,2.0,BHK,933.1597222,1.0,1.0,"Jigani,Bangalore",12.778033,77.632191,43.0
Owner,0.0,1.0,2.0,BHK,929.9211427,1.0,1.0,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5
Dealer,1.0,0.0,2.0,BHK,999.009247,0.0,1.0,"New Town,Kolkata",22.5922,88.484911,60.5
Owner,0.0,0.0,3.0,BHK,1250.0,1.0,1.0,"South Chittoor,Kochi",10.03328,76.28257099999999,42.0
,,,,,nan,,,,,,nan
Owner,0.0,1.0,3.0,BHK,1181.012946,1.0,1.0,"Kharar,Mohali",30.74,76.65,52.0
Dealer,0.0,1.0,2.0,BHK,1040.0,1.0,1.0,"Bileshivale,Bangalore",13.054202,77.674002,41.6
Owner,0.0,1.0,2.0,BHK,879.1208791000001,1.0,1.0,"Chromepet,Chennai",12.95161,80.14097,36.0
Owner,0.0,0.0,3.0,BHK,1350.308642,1.0,1.0,"Deshbandhu Para,Siliguri",26.724219,88.326357,35.0
Dealer,0.0,0.0,2.0,BHK,1333.010179,1.0,1.0,"Hebbal,Bangalore",13.04034,77.591347,110.0
Owner,0.0,0.0,2.0,BHK,927.1779023,1.0,1.0,"Garebhavipalya,Bangalore",12.96991,77.59796,48.0
Owner,0.0,1.0,2.0,BHK,1122.1719460000002,1.0,1.0,"Sector-119 Noida,Noida",28.587711,77.403123,62.0
Owner,0.0,0.0,1.0,BHK,649.9837504,1.0,1.0,"sanjay nagar,Raigad",13.0352,77.5772,20.0
Dealer,1.0,1.0,3.0,BHK,1394.117647,0.0,1.0,"Sector-150 Noida,Noida",28.429614,77.481711,71.1
Owner,0.0,0.0,3.0,BHK,1800.08471,1.0,1.0,"Jharapada,Bhubaneswar",20.275267000000003,85.86240699999999,85.0
Dealer,1.0,1.0,3.0,BHK,2124.896706,0.0,1.0,"Konanakunte,Bangalore",12.8855,77.5638,180.0
Owner,0.0,0.0,2.0,BHK,1100.0,1.0,1.0,"Nagpur Road,Wardha",21.15389,79.08306,22.0
Dealer,0.0,1.0,3.0,BHK,2178.649237,1.0,1.0,"Kogilu,Bangalore",13.092356,77.61346800000001,120.0
Owner,0.0,0.0,2.0,BHK,881.1435285,1.0,1.0,"Poonamallee,Chennai",13.05,80.11,45.0
Dealer,0.0,0.0,2.0,BHK,944.8818898,1.0,1.0,"Undri,Pune",18.452663,73.93104,42.0
Dealer,0.0,1.0,3.0,BHK,1310.147689,1.0,1.0,"Sector-134 Noida,Noida",28.5041,77.381557,55.0
Dealer,0.0,0.0,1.0,BHK,630.00063,1.0,1.0,"Bandra (West),Mumbai",19.05444,72.84056,300.0
Dealer,0.0,0.0,2.0,BHK,1219.80971,1.0,1.0,"Narendra Nagar,Nagpur",21.105779,79.078497,50.0
Owner,0.0,0.0,2.0,BHK,780.141844,1.0,1.0,"Kudgat,Kolkata",22.54111,88.33778000000001,27.5
Owner,0.0,0.0,3.0,BHK,1600.0,1.0,1.0,"Sain Vihar,Ghaziabad",28.63601,77.433724,46.0
Dealer,0.0,0.0,2.0,BHK,1180.412371,1.0,1.0,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.9
Owner,1.0,0.0,2.0,BHK,1000.0,0.0,1.0,"Mohan Asram,Deoghar",24.48,86.7,39.0
Dealer,0.0,0.0,2.0,BHK,1000.0,1.0,1.0,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,12.5
Dealer,0.0,0.0,3.0,BHK,1400.107701,1.0,1.0,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,52.0
Dealer,0.0,1.0,2.0,BHK,943.1266076,1.0,1.0,"Sector-134 Noida,Noida",28.5041,77.381557,33.0
Owner,0.0,0.0,2.0,BHK,1150.146382,1.0,1.0,"Indra Colony,Jaipur",26.586306,74.873234,55.0
Dealer,1.0,1.0,1.0,BHK,864.0674393999999,0.0,1.0,"Thane West,Lalitpur",19.18,72.96333,82.0
,,,,,nan,,,,,,nan
Owner,0.0,0.0,3.0,BHK,1174.210077,1.0,1.0,"Thalambur,Chennai",12.852171,80.216826,55.0
Dealer,1.0,1.0,2.0,BHK,1020.087884,0.0,1.0,"Wakad,Pune",18.5993,73.7625,65.0
Owner,0.0,0.0,4.0,BHK,1650.165017,1.0,1.0,"Vasna,Vadodara",22.312063,72.674296,65.0
Dealer,1.0,0.0,2.0,BHK,1000.0,0.0,1.0,"Madhurawada,Visakhapatnam",17.815234,83.35818,35.0
Owner,0.0,0.0,3.0,BHK,1300.052002,1.0,1.0,"Vasanthapura,Bangalore",12.894088,77.548914,75.0
Dealer,1.0,1.0,1.0,BHK,40606.19568,0.0,0.0,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,9110.0
Dealer,0.0,1.0,2.0,BHK,1058.114928,1.0,1.0,"Sus,Pune",18.539812,73.737678,65.0
Dealer,1.0,0.0,1.0,BHK,400.0,0.0,1.0,"Kharadi,Pune",18.5438,73.9438,30.0
Dealer,0.0,1.0,3.0,BHK,1274.924779,1.0,1.0,"Marol,Mumbai",22.803593,83.755013,250.0
Dealer,0.0,0.0,2.0,BHK,1026.694045,1.0,1.0,"Wadala East,Lalitpur",19.014858,72.8662,220.0
Owner,0.0,0.0,2.0,BHK,1150.121065,1.0,1.0,"Near Ambamata Mandir,Vapi",20.366670000000003,72.9,38.0
,,,,,nan,,,,,,nan
Dealer,0.0,0.0,1.0,RK,475.0103263,1.0,1.0,"Balkum,Lalitpur",24.69028,78.41889,46.0
Builder,1.0,1.0,1.0,BHK,301.91711630000003,0.0,0.0,"Taloja,Lalitpur",24.69028,78.41889,26.3
Dealer,1.0,1.0,2.0,BHK,1228.571429,0.0,1.0,"Bolar,Mangalore",12.843852,74.845271,51.6
Owner,0.0,0.0,2.0,BHK,986.0164934,1.0,1.0,"Ayanambakkam,Chennai",13.077175,80.151453,55.0
Dealer,1.0,1.0,3.0,BHK,1972.565158,0.0,1.0,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,71.9
,,,,,nan,,,,,,nan
Owner,0.0,0.0,3.0,BHK,1275.009808,1.0,1.0,"Shiv Mandir,Siliguri",25.232239,71.392013,32.5
Dealer,1.0,1.0,1.0,BHK,406.024219,0.0,0.0,"Kalyan (West),Maharashtra",19.245347,73.124577,39.9
Dealer,0.0,0.0,3.0,BHK,1862.562189,1.0,1.0,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,59.9
Owner,0.0,0.0,2.0,BHK,950.0146156,1.0,1.0,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,65.0
Owner,0.0,1.0,4.0,BHK,5200.945626,1.0,1.0,"Sector-76 Noida,Noida",28.567633,77.383124,110.0
Dealer,0.0,0.0,2.0,BHK,1049.969344,1.0,1.0,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,68.5
Dealer,0.0,0.0,3.0,BHK,1615.008157,1.0,1.0,"Maniktala,Kolkata",22.589694,88.372957,99.0
Dealer,0.0,0.0,3.0,BHK,1150.0069,1.0,1.0,"Wadala East,Lalitpur",19.014858,72.8662,250.0
Owner,0.0,0.0,2.0,BHK,1100.0,1.0,1.0,"Jhotwara,Jaipur",26.955346,75.73479300000001,27.5
Dealer,1.0,1.0,2.0,BHK,906.2661833,0.0,0.0,"Balkum,Lalitpur",24.69028,78.41889,70.0
Owner,0.0,0.0,3.0,BHK,1454.333915,1.0,1.0,"Poolakkaparambu,Ottapalam",10.77,76.38,50.0
Owner,0.0,0.0,3.0,BHK,1591.994542,1.0,1.0,"Sector-137 Noida,Noida",28.506454,77.40956800000001,70.0
Dealer,0.0,1.0,2.0,BHK,573.8769151,1.0,1.0,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,22.1
Dealer,0.0,1.0,3.0,BHK,1038.883942,1.0,1.0,"Powai,Mumbai",19.12,72.91,280.0
Owner,0.0,0.0,3.0,BHK,1538.141758,1.0,1.0,"Yelahanka,Bangalore",13.11389,77.59833,74.0
Owner,0.0,0.0,2.0,BHK,5000.0,1.0,1.0,"Malviya Nagar,Jaipur",26.850391,75.814198,85.0
Dealer,0.0,0.0,3.0,BHK,1602.084012,1.0,1.0,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,49.2
Owner,0.0,0.0,2.0,BHK,1200.0,1.0,1.0,"Madhuranagar,Vijayawada",16.51667,80.61667,45.0
Owner,0.0,0.0,2.0,BHK,760.0709400000001,1.0,1.0,"Tilakwadi,Belgaum",15.86667,74.5,60.0
Owner,1.0,0.0,2.0,BHK,739.8273736000001,0.0,1.0,"tallaiya,Bhopal",23.25,77.41667,30.0
Owner,0.0,0.0,2.0,BHK,1260.02291,1.0,1.0,"Mulki,Mangalore",13.0915,74.7844,33.0
Owner,0.0,0.0,2.0,BHK,1100.151745,1.0,1.0,"Manewada,Nagpur",21.093676,79.111965,29.0
Dealer,0.0,1.0,3.0,BHK,2293.077091,1.0,1.0,"Kharadi,Pune",18.5438,73.9438,210.0
Dealer,0.0,0.0,2.0,BHK,1146.480331,1.0,1.0,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,88.6
Dealer,0.0,1.0,4.0,BHK,2224.059764,1.0,1.0,"Goregaon (East),Lalitpur",19.1615,72.8731,780.0
Dealer,0.0,0.0,2.0,BHK,759.8784195000001,1.0,1.0,"Joka,Kolkata",22.452032,88.298947,30.0
Owner,0.0,0.0,4.0,BHK,2260.251857,1.0,1.0,"Wilson Garden,Bangalore",12.9506,77.5952,140.0
Dealer,0.0,0.0,3.0,BHK,767.0182167,1.0,1.0,"DN Nagar,Maharashtra",20.742166,80.104602,240.0
Owner,0.0,0.0,4.0,BHK,2500.0,1.0,1.0,"Ramprastha,Ghaziabad",28.66667,77.41667,160.0
Dealer,1.0,1.0,4.0,BHK,2286.236854,0.0,1.0,"Gomti Nagar Extension,Lucknow",21.0,77.0,100.0
Owner,0.0,1.0,2.0,BHK,1150.086256,1.0,1.0,"Sector-74 Noida,Noida",28.577673,77.389781,60.0
Dealer,0.0,1.0,2.0,BHK,1004.932182,1.0,1.0,"New Panvel,Mumbai",18.966114,73.148278,81.5
Owner,0.0,0.0,2.0,BHK,800.0,1.0,1.0,"Prantik,Kolkata",22.56972,88.36972,34.0
Dealer,1.0,0.0,3.0,BHK,993.75,0.0,1.0,"Subhas Pally,Siliguri",26.706157,88.439748,31.8
Dealer,0.0,0.0,2.0,BHK,1298.139334,1.0,1.0,"Jatkhedi,Bhopal",23.169982,77.477889,30.0
Dealer,0.0,1.0,2.0,BHK,996.797438,1.0,1.0,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,24.9
Owner,0.0,0.0,2.0,BHK,985.0194952,1.0,1.0,"CV Raman Nagar,Bangalore",12.98556,77.66389000000001,48.0
Dealer,0.0,0.0,3.0,BHK,1118.75,1.0,1.0,"Medavakkam,Chennai",12.91716,80.19287,53.7
Dealer,0.0,1.0,2.0,BHK,889.8305085000001,1.0,1.0,"Sector-137 Noida,Noida",28.506454,77.40956800000001,42.0
,,,,,nan,,,,,,nan
Dealer,1.0,1.0,4.0,BHK,1725.4901960000002,0.0,0.0,"Deonar,Maharashtra",19.049513,72.91920400000001,440.0
Dealer,1.0,1.0,3.0,BHK,2488.004265,0.0,1.0,"Sector-82 Mohali,Mohali",30.654128000000004,76.732427,140.0
Dealer,0.0,0.0,3.0,BHK,1200.082764,1.0,1.0,"Satgachi,Kolkata",23.207157,88.404471,58.0
unknown,,,,Studio,-1000,,,,999.0,-999.0,-1000000.0
Owner,0.0,0.0,2.0,BHK,900.0,1.0,1.0,"Kalol,Gandhinagar",23.2257,72.51679,18.0
Dealer,0.0,1.0,2.0,BHK,1193.440032,1.0,1.0,"Talegaon,Pune",18.441256,74.647361,60.4
,,,,,nan,,,,,,nan
Owner,1.0,1.0,2.0,BHK,989.9029895,0.0,1.0,"Sector-143 Noida,Noida",28.5035,77.426447,50.0
Dealer,0.0,0.0,2.0,BHK,1155.020213,1.0,1.0,"Bhandup (West),Maharashtra",19.147866,72.932609,140.0
Owner,0.0,0.0,2.0,BHK,949.893137,1.0,1.0,"Eswaran Koil Street,Pondicherry",11.93,79.83,80.0
Owner,0.0,0.0,2.0,BHK,875.0,1.0,1.0,"Sector-78 Noida,Noida",28.560719,77.386208,49.0
Dealer,0.0,0.0,2.0,BHK,853.3611982000001,1.0,1.0,"Ananth Nagar,Bangalore",12.96991,77.59796,24.5
Owner,0.0,0.0,1.0,BHK,483.0917874,1.0,1.0,"Roha,Raigad",18.4543,73.1147,18.0
Dealer,0.0,0.0,2.0,BHK,800.0,1.0,1.0,"Thane West,Maharashtra",19.18,72.96333,95.0
Owner,0.0,0.0,2.0,BHK,802.0415602999999,1.0,1.0,"Ankur Vihar,Ghaziabad",28.66667,77.41667,22.0
Dealer,0.0,1.0,2.0,BHK,610.0660905,1.0,1.0,"Koyambedu,Chennai",13.069866,80.19842299999999,48.0
Owner,0.0,0.0,3.0,BHK,1680.107527,1.0,1.0,"Naveen Nagar,Kanpur",28.861993,78.756315,75.0
Owner,0.0,0.0,2.0,BHK,1150.136038,1.0,1.0,"Nirman Nagar,Jaipur",19.980678,79.297436,93.0
Owner,0.0,0.0,3.0,BHK,1550.114497,1.0,1.0,"Sector-75 Noida,Noida",28.576117,77.382136,88.0
Owner,0.0,0.0,5.0,BHK,1699.834163,1.0,1.0,"Sahibabad,Ghaziabad",28.6711,77.3683,82.0
Owner,1.0,0.0,3.0,BHK,1600.170685,0.0,1.0,"Tripunithura,Kochi",9.952439,76.36329649999999,75.0
Owner,0.0,0.0,1.0,BHK,600.0566091,1.0,1.0,"Pen,Raigad",18.75,73.08,21.2
Dealer,0.0,1.0,2.0,BHK,1429.200617,1.0,1.0,"Sector-66A Mohali,Mohali",30.661104,76.746082,64.9
Owner,0.0,0.0,2.0,BHK,1115.1379980000002,1.0,1.0,"Dodda Banaswadi,Bangalore",13.008071,77.65129499999999,80.0
Dealer,0.0,0.0,4.0,BHK,2750.929368,1.0,1.0,"Sikandra,Agra",27.216013,77.950834,74.0
Owner,0.0,0.0,3.0,BHK,1811.196487,1.0,1.0,"Kanke,Ranchi",23.35556,85.33471999999999,99.0
Owner,0.0,0.0,2.0,BHK,1045.036079,1.0,1.0,"Narendrapur,Kolkata",22.43917,88.39583,42.0
Dealer,0.0,0.0,3.0,BHK,3433.996566,1.0,1.0,"Sector-65 Gurgaon,Gurgaon",28.403138,77.070052,340.0
,,,,,nan,,,,,,nan
Owner,1.0,1.0,2.0,BHK,1109.165207,0.0,1.0,"Katapady,Udupi",13.278237,74.747328,38.0
Dealer,1.0,1.0,4.0,BHK,1304.034182,0.0,0.0,"Kanchpada,Maharashtra",18.96,72.82,470.0
Dealer,0.0,1.0,2.0,BHK,1041.195111,1.0,1.0,"Sector-70 Noida,Noida",28.59632,77.38143000000001,46.0
Dealer,0.0,0.0,3.0,BHK,2135.748916,1.0,1.0,"Sector 82 Faridabad,Faridabad",28.394375,77.35722700000001,83.7
Owner,0.0,1.0,3.0,BHK,1850.180505,1.0,1.0,"Noida Extension,Noida",28.579004,77.431173,82.0
,,,,,nan,,,,,,nan
Owner,0.0,1.0,2.0,BHK,398.2621289,1.0,1.0,"Purseni,Lucknow",26.707154,80.98234599999999,11.0
Owner,0.0,0.0,2.0,BHK,1005.025126,1.0,1.0,"Chandapura,Bangalore",12.80009,77.71181999999999,48.0
